acct,utc_date,num_courses_visited,total_minutes_visited,lessons_completed,projects_completed
0,2015/1/9,1,11.6793745,0,0
0,2015/1/10,2,37.28488733,0,0
0,2015/1/11,2,53.63374633,0,0
0,2015/1/12,1,33.48926967,0,0
0,2015/1/13,1,64.77967767,0,0
0,2015/1/14,1,151.6175768,1,0
0,2015/1/15,1,142.3959638,0,0
0,2015/1/16,0,0,0,0
0,2015/1/17,1,9.8495625,0,0
0,2015/1/18,1,38.330548,0,0
0,2015/1/19,1,98.3275675,1,0
0,2015/1/20,0,0,0,0
0,2015/1/21,0,0,0,0
0,2015/1/22,1,218.3096902,1,0
0,2015/1/23,1,280.7733192,1,0
0,2015/1/24,1,32.27602017,0,0
0,2015/1/25,1,65.467882,0,0
0,2015/1/26,1,74.806089,1,0
0,2015/1/27,1,199.5010495,1,0
0,2015/1/28,1,55.23495933,0,0
0,2015/1/29,1,212.6456687,1,0
0,2015/1/30,1,96.00371917,1,0
0,2015/1/31,1,94.333214,0,0
0,2015/2/1,1,40.564986,1,0
0,2015/2/2,2,75.525712,0,0
0,2015/2/3,1,147.728229,0,0
0,2015/2/4,1,38.52997017,1,0
0,2015/2/5,2,84.95653433,0,0
0,2015/2/6,1,101.3783303,1,0
0,2015/2/7,1,104.065235,1,0
0,2015/2/8,0,0,0,0
0,2015/2/9,1,102.0631568,0,0
0,2015/2/10,1,104.6797623,1,0
0,2015/2/11,1,401.115233,2,0
0,2015/2/12,1,75.988601,0,0
0,2015/2/13,1,29.54253767,1,0
0,2015/2/14,1,111.8835475,0,0
0,2015/2/15,0,0,0,0
0,2015/2/16,0,0,0,0
0,2015/2/17,0,0,0,0
0,2015/2/18,0,0,0,0
0,2015/2/19,0,0,0,0
0,2015/2/20,1,32.65054483,0,0
0,2015/2/21,1,62.90922533,0,0
0,2015/2/22,1,77.89106817,1,0
0,2015/2/23,1,149.8862248,0,0
0,2015/2/24,0,0,0,0
0,2015/2/25,1,148.0621588,1,0
0,2015/2/26,2,42.34054917,1,0
0,2015/2/27,2,32.479962,0,0
0,2015/2/28,0,0,0,0
0,2015/3/1,2,76.54511267,0,0
0,2015/3/2,2,52.32868683,0,0
0,2015/3/3,2,72.93125283,0,0
0,2015/3/4,2,75.3168575,0,0
0,2015/3/5,1,58.72874733,0,0
0,2015/3/6,2,61.35937317,0,0
0,2015/3/7,0,0,0,0
0,2015/3/8,0,0,0,0
0,2015/3/9,1,13.03449133,0,0
0,2015/3/10,2,238.2826777,1,0
0,2015/3/11,2,90.317473,0,0
0,2015/3/12,1,20.36500967,0,0
0,2015/3/13,0,0,0,0
0,2015/3/14,0,0,0,0
0,2015/3/15,0,0,0,0
0,2015/3/16,2,164.3013078,0,0
0,2015/3/17,2,13.61274017,0,0
0,2015/3/18,2,28.96736533,1,0
0,2015/3/19,0,0,0,0
0,2015/3/20,0,0,0,0
0,2015/3/21,0,0,0,0
0,2015/3/22,0,0,0,0
0,2015/3/23,1,35.68798383,0,0
0,2015/3/24,1,142.7344815,1,0
0,2015/3/25,1,175.6848335,1,0
0,2015/3/26,1,50.231326,1,0
0,2015/3/27,0,0,0,0
0,2015/3/28,0,0,0,0
0,2015/3/29,0,0,0,0
0,2015/3/30,0,0,0,0
0,2015/3/31,1,173.54588,1,0
0,2015/4/1,1,214.8372178,3,0
0,2015/4/2,0,0,0,0
0,2015/4/3,1,59.07321333,1,0
0,2015/4/4,1,35.71483,0,0
0,2015/4/5,1,103.655366,1,0
0,2015/4/6,1,171.518927,1,0
0,2015/4/7,1,14.39983867,0,0
0,2015/4/8,2,115.6906042,2,0
0,2015/4/9,1,235.6872318,2,0
0,2015/4/10,0,0,0,0
0,2015/4/11,1,41.95401133,0,0
0,2015/4/12,1,17.41569967,0,0
0,2015/4/13,1,10.47543133,0,0
0,2015/4/14,1,37.04264833,0,0
0,2015/4/15,0,0,0,0
0,2015/4/16,0,0,0,0
0,2015/4/17,0,0,0,0
0,2015/4/18,0,0,0,0
0,2015/4/19,0,0,0,0
0,2015/4/20,1,25.2435245,0,0
0,2015/4/21,1,7.104640667,0,0
0,2015/4/22,0,0,0,0
0,2015/4/23,0,0,0,1
0,2015/4/24,0,0,0,0
0,2015/4/25,0,0,0,0
0,2015/4/26,0,0,0,0
0,2015/4/27,0,0,0,0
0,2015/4/28,1,3.130197667,0,0
0,2015/4/29,0,0,0,0
0,2015/4/30,0,0,0,0
0,2015/5/1,0,0,0,0
0,2015/5/2,0,0,0,0
0,2015/5/3,0,0,0,0
0,2015/5/4,0,0,0,0
0,2015/5/5,0,0,0,0
0,2015/5/6,0,0,0,0
0,2015/5/7,0,0,0,0
0,2015/5/8,3,121.3011078,1,0
0,2015/5/9,1,78.96648183,0,0
0,2015/5/10,2,39.11857183,0,0
0,2015/5/11,1,130.2379003,0,0
0,2015/5/12,1,8.6603245,0,0
0,2015/5/13,0,0,0,0
0,2015/5/14,0,0,0,0
0,2015/5/15,0,0,0,0
0,2015/5/16,0,0,0,0
0,2015/5/17,0,0,0,0
0,2015/5/18,0,0,0,0
0,2015/5/19,0,0,0,0
0,2015/5/20,0,0,0,0
0,2015/5/21,0,0,0,0
0,2015/5/22,0,0,0,0
0,2015/5/23,0,0,0,0
0,2015/5/24,0,0,0,0
0,2015/5/25,0,0,0,0
0,2015/5/26,0,0,0,0
0,2015/5/27,0,0,0,0
0,2015/5/28,0,0,0,0
0,2015/5/29,0,0,0,0
0,2015/5/30,0,0,0,0
0,2015/5/31,0,0,0,0
0,2015/6/1,0,0,0,0
0,2015/6/2,0,0,0,0
0,2015/6/3,0,0,0,0
0,2015/6/4,0,0,0,0
0,2015/6/5,0,0,0,0
0,2015/6/6,0,0,0,0
0,2015/6/7,0,0,0,0
0,2015/6/8,0,0,0,0
0,2015/6/9,0,0,0,0
0,2015/6/10,0,0,0,0
0,2015/6/11,0,0,0,0
0,2015/6/12,1,12.23136533,0,0
0,2015/6/13,0,0,0,0
0,2015/6/14,0,0,0,0
0,2015/6/15,0,0,0,0
0,2015/6/16,0,0,0,0
0,2015/6/17,0,0,0,0
0,2015/6/18,1,75.93212183,1,0
0,2015/6/19,1,72.5781645,1,0
0,2015/6/20,0,0,0,0
0,2015/6/21,0,0,0,0
0,2015/6/22,0,0,0,0
0,2015/6/23,0,0,0,0
0,2015/6/24,1,94.79828567,0,0
0,2015/6/25,0,0,0,0
0,2015/6/26,1,50.70915767,0,0
0,2015/6/27,0,0,0,0
0,2015/6/28,1,104.3308655,0,0
0,2015/6/29,1,211.4023882,2,0
0,2015/6/30,1,13.50550717,0,0
0,2015/7/1,0,0,0,0
0,2015/7/2,0,0,0,0
0,2015/7/3,0,0,0,0
0,2015/7/4,0,0,0,0
0,2015/7/5,0,0,0,0
0,2015/7/6,0,0,0,0
0,2015/7/7,0,0,0,0
0,2015/7/8,0,0,0,0
0,2015/7/9,0,0,0,0
0,2015/7/10,0,0,0,0
0,2015/7/11,0,0,0,0
0,2015/7/12,0,0,0,0
0,2015/7/13,0,0,0,0
0,2015/7/14,0,0,0,0
0,2015/7/15,0,0,0,0
0,2015/7/16,0,0,0,0
0,2015/7/17,0,0,0,0
0,2015/7/18,0,0,0,0
0,2015/7/19,0,0,0,0
0,2015/7/20,0,0,0,0
0,2015/7/21,0,0,0,0
0,2015/7/22,0,0,0,0
0,2015/7/23,0,0,0,0
0,2015/7/24,0,0,0,0
0,2015/7/25,0,0,0,0
0,2015/7/27,0,0,0,1
0,2015/7/28,0,0,0,0
0,2015/7/29,0,0,0,0
0,2015/7/30,0,0,0,0
0,2015/7/31,0,0,0,0
0,2015/8/1,0,0,0,0
0,2015/8/2,0,0,0,0
0,2015/8/3,0,0,0,0
0,2015/8/4,0,0,0,0
0,2015/8/5,0,0,0,0
0,2015/8/6,0,0,0,0
0,2015/8/7,0,0,0,0
0,2015/8/8,0,0,0,0
0,2015/8/9,0,0,0,0
0,2015/8/10,0,0,0,0
0,2015/8/11,0,0,0,0
0,2015/8/12,0,0,0,0
0,2015/8/13,0,0,0,0
0,2015/8/14,1,4.729416167,0,0
0,2015/8/15,0,0,0,0
0,2015/8/16,0,0,0,0
0,2015/8/17,0,0,0,0
0,2015/8/18,0,0,0,0
0,2015/8/19,0,0,0,0
0,2015/8/20,0,0,0,0
0,2015/8/21,0,0,0,0
0,2015/8/22,0,0,0,0
0,2015/8/23,0,0,0,0
0,2015/8/24,0,0,0,0
0,2015/8/25,0,0,0,0
0,2015/8/26,1,14.96941617,0,0
0,2015/8/27,0,0,0,0
1,2015/5/6,1,9.640248,0,0
1,2015/5/7,0,0,0,0
1,2015/5/8,0,0,0,0
1,2015/5/9,0,0,0,0
1,2015/5/10,0,0,0,0
1,2015/5/11,0,0,0,0
1,2015/5/12,1,8.936136667,0,0
1,2015/5/13,2,202.4374995,2,0
1,2015/5/14,1,300.8201817,2,0
1,2015/5/15,1,144.2232583,0,0
1,2015/5/16,0,0,0,0
1,2015/5/17,0,0,0,0
1,2015/5/18,1,250.7725985,2,0
1,2015/5/19,2,343.2474962,3,0
1,2015/5/20,0,0,0,0
1,2015/5/21,1,63.902367,0,0
1,2015/5/22,1,189.4586242,0,0
1,2015/5/23,0,0,0,0
1,2015/5/24,0,0,0,0
1,2015/5/25,0,0,0,0
1,2015/5/26,3,151.3747132,0,0
1,2015/5/27,1,125.0190875,0,0
1,2015/5/28,2,187.35692,0,0
1,2015/5/29,1,88.849618,0,0
1,2015/5/30,2,18.118867,0,0
1,2015/5/31,1,26.535007,1,0
1,2015/6/1,0,0,0,0
1,2015/6/2,1,110.0918913,1,0
1,2015/6/3,0,0,0,0
1,2015/6/4,0,0,0,0
1,2015/6/5,1,195.111528,1,0
1,2015/6/6,1,62.82414917,1,0
1,2015/6/7,0,0,0,0
1,2015/6/8,2,130.3136958,1,0
1,2015/6/9,1,211.1396013,2,0
1,2015/6/10,1,71.39473817,1,0
1,2015/6/11,1,159.5672787,0,0
1,2015/6/12,1,9.3085855,0,0
1,2015/6/13,0,0,0,0
1,2015/6/14,0,0,0,0
1,2015/6/15,0,0,0,0
1,2015/6/16,0,0,0,0
1,2015/6/17,0,0,0,0
1,2015/6/18,0,0,0,0
1,2015/6/19,0,0,0,0
1,2015/6/20,0,0,0,0
1,2015/6/21,0,0,0,0
1,2015/6/22,0,0,0,0
1,2015/6/23,0,0,0,0
1,2015/6/24,0,0,0,0
1,2015/6/25,1,9.0560495,0,0
1,2015/6/26,0,0,0,0
1,2015/6/27,0,0,0,0
1,2015/6/28,0,0,0,0
1,2015/6/29,0,0,0,0
1,2015/6/30,0,0,0,0
1,2015/7/1,0,0,0,0
1,2015/7/2,0,0,0,0
1,2015/7/3,0,0,0,0
1,2015/7/4,0,0,0,0
1,2015/7/5,0,0,0,0
1,2015/7/6,0,0,0,0
1,2015/7/7,0,0,0,0
1,2015/7/8,0,0,0,0
1,2015/7/9,2,20.74613467,0,0
1,2015/7/10,6,653.5288803,4,0
1,2015/7/11,2,32.816762,0,0
1,2015/7/12,1,2.619308833,0,0
1,2015/7/13,0,0,0,0
1,2015/7/14,0,0,0,0
1,2015/7/15,0,0,0,0
1,2015/7/16,0,0,0,0
1,2015/7/17,0,0,0,0
1,2015/7/18,0,0,0,0
1,2015/7/19,0,0,0,0
1,2015/7/20,0,0,0,0
1,2015/7/21,3,263.1108015,1,0
1,2015/7/22,1,7.6601485,0,0
1,2015/7/23,0,0,0,0
1,2015/7/24,1,101.1307422,1,0
1,2015/7/25,0,0,0,0
1,2015/7/27,0,0,0,0
1,2015/7/28,0,0,0,0
1,2015/7/29,0,0,0,0
1,2015/7/30,0,0,0,0
1,2015/7/31,0,0,0,0
1,2015/8/1,0,0,0,0
1,2015/8/2,0,0,0,0
1,2015/8/3,0,0,0,0
1,2015/8/4,0,0,0,0
1,2015/8/5,0,0,0,0
1,2015/8/6,0,0,0,0
1,2015/8/7,0,0,0,0
1,2015/8/8,0,0,0,0
1,2015/8/9,0,0,0,0
1,2015/8/10,0,0,0,0
1,2015/8/11,0,0,0,0
1,2015/8/12,0,0,0,0
1,2015/8/13,0,0,0,0
1,2015/8/14,0,0,0,0
1,2015/8/15,0,0,0,0
1,2015/8/16,0,0,0,0
1,2015/8/17,0,0,0,0
1,2015/8/18,0,0,0,0
1,2015/8/19,0,0,0,0
1,2015/8/20,1,18.94377483,0,0
1,2015/8/21,1,6.748840833,0,0
1,2015/8/22,0,0,0,0
1,2015/8/23,0,0,0,0
1,2015/8/24,1,5.268997,0,0
1,2015/8/25,1,30.10219083,0,0
1,2015/8/26,1,84.06775417,0,0
1,2015/8/27,0,0,0,0
2,2015/6/8,0,0,0,0
2,2015/6/9,0,0,0,0
2,2015/6/10,0,0,0,0
2,2015/6/11,0,0,0,0
2,2015/6/12,0,0,0,0
2,2015/6/13,0,0,0,0
2,2015/6/14,0,0,0,0
2,2015/6/15,0,0,0,0
2,2015/6/16,0,0,0,0
2,2015/6/17,0,0,0,0
2,2015/6/18,0,0,0,0
2,2015/6/19,0,0,0,0
2,2015/6/20,0,0,0,0
2,2015/6/21,0,0,0,0
2,2015/6/22,0,0,0,0
2,2015/6/23,0,0,0,0
2,2015/6/24,0,0,0,0
2,2015/6/25,0,0,0,0
2,2015/6/26,0,0,0,0
2,2015/6/27,0,0,0,0
2,2015/6/28,0,0,0,0
2,2015/6/29,0,0,0,0
2,2015/6/30,0,0,0,0
2,2015/7/1,0,0,0,0
2,2015/7/2,0,0,0,0
2,2015/7/3,0,0,0,0
2,2015/7/4,0,0,0,0
2,2015/7/5,2,52.4235215,0,0
2,2015/7/6,1,40.32960333,0,0
2,2015/7/7,2,72.7622655,0,0
2,2015/7/8,0,0,0,0
2,2015/7/9,0,0,0,0
2,2015/7/10,4,529.1546677,2,0
2,2015/7/11,2,562.2041653,2,0
2,2015/7/12,0,0,0,0
2,2015/7/13,0,0,0,0
2,2015/7/14,1,35.363993,0,0
2,2015/7/15,0,0,0,0
2,2015/7/16,0,0,0,0
2,2015/7/17,1,110.5183147,0,0
2,2015/7/18,1,3.824920333,0,0
2,2015/7/19,2,237.4210448,1,0
2,2015/7/20,1,257.4678087,1,0
2,2015/7/21,0,0,0,0
2,2015/7/22,0,0,0,0
2,2015/7/23,0,0,0,0
2,2015/7/24,1,5.9314785,0,0
2,2015/7/25,1,48.06900983,0,0
2,2015/7/27,1,151.7112622,1,0
2,2015/7/28,0,0,0,0
2,2015/7/29,1,33.02208533,0,0
2,2015/7/30,0,0,0,0
2,2015/7/31,3,118.4552222,1,0
2,2015/8/1,0,0,0,0
2,2015/8/2,0,0,0,0
2,2015/8/3,0,0,0,0
2,2015/8/4,1,11.14664433,0,0
2,2015/8/5,0,0,0,0
2,2015/8/6,0,0,0,0
2,2015/8/7,1,3.6482675,0,0
2,2015/8/8,0,0,0,0
2,2015/8/9,0,0,0,0
2,2015/8/10,0,0,0,0
2,2015/8/11,0,0,0,0
2,2015/8/12,0,0,0,0
2,2015/8/13,0,0,0,0
2,2015/8/14,0,0,0,0
2,2015/8/15,0,0,0,0
2,2015/8/16,2,20.898717,0,0
2,2015/8/17,1,80.47559133,0,0
2,2015/8/18,1,126.233124,0,0
2,2015/8/19,1,71.506794,0,0
2,2015/8/20,1,33.092238,0,0
2,2015/8/21,1,42.43361617,0,0
2,2015/8/22,1,12.33607817,0,0
2,2015/8/23,1,5.702436167,0,0
2,2015/8/24,1,23.6492425,0,0
2,2015/8/25,1,70.677827,0,0
2,2015/8/26,1,161.6815685,0,0
2,2015/8/27,1,55.28853717,1,0
3,2014/11/10,2,136.1835995,0,0
3,2014/11/11,1,11.0550435,0,0
3,2014/11/12,1,34.615231,1,0
3,2014/11/13,1,406.3332692,3,0
3,2014/11/14,2,91.475528,0,0
3,2014/11/15,1,148.2441033,2,0
3,2014/11/16,0,0,0,0
3,2014/11/17,1,195.6512002,2,0
3,2014/11/18,2,163.3229915,1,0
3,2014/11/19,0,0,0,0
3,2014/11/20,2,54.30447583,0,0
3,2014/11/21,2,64.15618933,0,0
3,2014/11/22,1,35.82657267,0,0
3,2014/11/23,0,0,0,0
3,2014/11/24,0,0,0,1
3,2014/11/25,1,109.8568135,3,0
3,2014/11/26,1,86.58777783,1,0
3,2014/11/27,0,0,0,0
3,2014/11/28,0,0,0,0
3,2014/11/29,0,0,0,0
3,2014/11/30,0,0,0,0
3,2014/12/1,0,0,0,0
3,2014/12/2,1,136.182332,1,0
3,2014/12/3,0,0,0,0
3,2014/12/4,0,0,0,0
3,2014/12/5,1,44.73907483,0,0
3,2014/12/6,0,0,0,0
3,2014/12/7,0,0,0,0
3,2014/12/8,0,0,0,0
3,2014/12/9,1,46.81838767,1,0
3,2014/12/10,0,0,0,0
3,2014/12/11,1,128.9821192,0,0
3,2014/12/12,0,0,0,0
3,2014/12/13,0,0,0,0
3,2014/12/14,1,101.5958455,2,0
3,2014/12/15,0,0,0,0
3,2014/12/16,0,0,0,0
3,2014/12/17,1,71.521254,0,0
3,2014/12/18,0,0,0,0
3,2014/12/19,0,0,0,0
3,2014/12/20,0,0,0,0
3,2014/12/21,1,174.8517835,3,0
3,2014/12/22,0,0,0,0
3,2014/12/23,0,0,0,0
3,2014/12/24,0,0,0,0
3,2014/12/25,0,0,0,0
3,2014/12/26,0,0,0,0
3,2014/12/27,1,5.7076545,0,0
3,2014/12/28,1,62.287003,0,0
3,2014/12/29,0,0,0,0
3,2014/12/30,0,0,0,0
3,2014/12/31,0,0,0,0
3,2015/1/1,0,0,0,0
3,2015/1/2,0,0,0,0
3,2015/1/3,0,0,0,0
3,2015/1/4,0,0,0,0
3,2015/1/5,0,0,0,0
3,2015/1/6,0,0,0,0
3,2015/1/7,0,0,0,0
3,2015/1/8,0,0,0,0
3,2015/1/9,0,0,0,0
3,2015/1/10,1,26.83747617,0,0
3,2015/1/11,0,0,0,0
3,2015/1/12,0,0,0,0
3,2015/1/13,0,0,0,0
3,2015/1/14,0,0,0,0
3,2015/1/15,0,0,0,0
3,2015/1/16,0,0,0,0
3,2015/1/17,0,0,0,0
3,2015/1/18,0,0,0,0
3,2015/1/19,1,58.36181217,1,0
3,2015/1/20,0,0,0,0
3,2015/1/21,0,0,0,0
3,2015/1/22,0,0,0,0
3,2015/1/23,0,0,0,0
3,2015/1/24,0,0,0,0
3,2015/1/25,0,0,0,0
3,2015/1/26,2,113.8840842,0,0
3,2015/1/27,0,0,0,0
3,2015/1/28,0,0,0,0
3,2015/1/29,0,0,0,0
3,2015/1/30,0,0,0,0
3,2015/1/31,0,0,0,0
3,2015/2/1,0,0,0,0
3,2015/2/2,0,0,0,0
3,2015/2/3,0,0,0,0
3,2015/2/4,0,0,0,0
3,2015/2/5,0,0,0,0
3,2015/2/6,0,0,0,0
3,2015/2/7,0,0,0,0
3,2015/2/8,0,0,0,0
3,2015/2/9,0,0,0,0
3,2015/2/10,0,0,0,0
3,2015/2/11,0,0,0,0
3,2015/2/12,0,0,0,0
3,2015/2/13,0,0,0,0
3,2015/2/14,0,0,0,0
3,2015/2/15,0,0,0,0
3,2015/2/16,0,0,0,0
3,2015/2/17,0,0,0,0
3,2015/2/18,0,0,0,0
3,2015/2/19,0,0,0,0
3,2015/2/20,0,0,0,0
3,2015/2/21,0,0,0,0
3,2015/2/22,0,0,0,0
3,2015/2/23,0,0,0,0
3,2015/2/24,0,0,0,0
